,Close,High,Low,Open,Date,Volume
73,99.7767,99.7767,99.7,99.7,2021-07-30,213
74,99.901,99.901,99.901,99.901,2021-08-02,254
75,99.9047,99.9047,99.9047,99.9047,2021-08-03,5
76,99.8466,99.8466,99.8466,99.8466,2021-08-04,55
77,99.735,99.735,99.735,99.735,2021-08-05,73
78,99.5585,99.5585,99.5585,99.5585,2021-08-06,4
79,99.4774,99.4774,99.4774,99.4774,2021-08-09,4
80,99.3893,99.3949,99.3893,99.3949,2021-08-10,118
81,99.4693,99.4693,99.39,99.45,2021-08-11,530
82,99.445,99.449,99.445,99.449,2021-08-12,243
83,99.5825,99.5825,99.5825,99.5825,2021-08-13,4
84,99.6496,99.6496,99.64,99.64,2021-08-16,120
85,99.6,99.6,99.18,99.18,2021-08-17,326
86,99.55,99.575,99.55,99.575,2021-08-18,425
87,99.605,99.605,99.605,99.605,2021-08-19,136
88,99.5696,99.5696,99.5696,99.5696,2021-08-20,4
89,99.5932,99.5932,99.5932,99.5932,2021-08-23,138
90,99.535,99.58,99.535,99.541,2021-08-24,910
91,99.445,99.445,99.445,99.445,2021-08-25,94
92,99.4585,99.4585,99.44,99.44,2021-08-26,2006
93,99.5864,99.5864,99.5864,99.5864,2021-08-27,2
94,99.685,99.685,99.685,99.685,2021-08-30,74
95,99.695,99.695,99.64,99.65,2021-08-31,126287
96,99.68,99.719,99.68,99.719,2021-09-01,103
97,99.7202,99.76,99.72,99.76,2021-09-02,572
98,99.69,99.75,99.69,99.72,2021-09-03,1509
99,99.5551,99.576,99.5551,99.576,2021-09-07,862
100,99.61,99.61,99.61,99.61,2021-09-08,200
101,99.725,99.725,99.725,99.725,2021-09-09,24
102,99.635,99.635,99.635,99.635,2021-09-10,13
103,99.615,99.615,99.5644,99.5644,2021-09-13,209
104,99.735,99.735,99.69,99.735,2021-09-14,1008
105,99.66,99.7099,99.66,99.7099,2021-09-15,102
106,99.58,99.58,99.53,99.5301,2021-09-16,877
107,99.465,99.465,99.39,99.39,2021-09-17,502
108,99.625,99.625,99.4101,99.4101,2021-09-20,110
109,99.59,99.59,99.5878,99.5878,2021-09-21,464
110,99.55,99.55,99.55,99.55,2021-09-22,122
111,99.2947,99.3999,99.26,99.3999,2021-09-23,2339
112,99.19,99.2,99.19,99.2,2021-09-24,171
113,99.18,99.18,99.18,99.18,2021-09-27,52
